EntityType,Name,FQDN,ComputerClass,Description,ProxyUser,ProxyUserPassword,ProxyUserIsManaged,ResourceDomain,ResourceDomainOperationsEnabled,ResourceSessionType,ResourceSessionTypePort,ResourceWindowsManagementMode,ResourceWindowsManagementPort,PasswordProfile,SetName,DefaultCheckoutTime,AllowRemote,ParentEntityTypeOfAccount,ParentEntityNameOfAccount,User,Password,IsManaged,AccountMode,UseProxy,DatabaseServiceType,OracleServiceName,SQLInstanceName,DatabasePort,ParentDomain,AdministrativeAccountUser,AllowAutomaticAccountMaintenance,AllowManualAccountUnlock,AllowMultipleCheckouts,AllowPasswordRotation,PasswordRotateDuration,MinimumPasswordAge,AllowPasswordHistoryCleanUp,PasswordHistoryCleanUpDuration
System,UnixBox1,172.27.12.204,Unix,My Unixbox,user4,user1Password,False,,False,Ssh,24,,,,,45,True,,,,,,,,,,,,,,,,True,True,1000,100,True,123
System,Win2016,172.27.12.206,Windows,My Windows 2016,,,,centrify-mg.test,True,Rdp,,RpcOverTcp,,,ResourceSet1|ResourceSet2,50,True,,,,,,,,,,,,,,,,False,True,155,100,True,450
System,Win2016_1,Win2016-1,Windows,My win system,,,,centrify-mg.test,,Rdp,3390,WinRMOverHttps,5986,WinProfile,,55,True,,,,,,,,,,,,,,,,True,True,234,100,True,345
Account,,,,root for UnixBox1,,,,,,,,,,,AccountSet1,30,,System,UnixBox1,root,test1Password,,,,,,,,,,,,,,,,,
Account,,,,user1 for UnixBox1,,,,,,,,,,,AccountSet1,30,,System,UnixBox1,user1,test1Password,True,,,,,,,,,,,,,,,,
Account,,,,Admin for Win2016,,,,,,,,,,,AccountSet1,,,System,Win2016_1,Admin,test1Password,False,,,,,,,,,,,,,,,,
Domain,centrify-mg1.test,,,my test domain,,,,,,,,,,,,,False,,,,,,,,,,,,,adminsitrator@centrify-mg.test,True,True,,,,,,
Domain,child1,,,my test child domain,,,,,,,,,,,,,True,,,,,,,,,,,,Centrify-mg1.test,admin@centrify-mg1.test,False,True,,,,,,
Account,,,,Domain Admin account for centrify-mg1.test,,,,,,,,,,,AccountSet1,200,,Domain,centrify-mg1.test,Admin,test1Password,False,,,,,,,,,,,,,,,,
Database,sqlserver1,Sql1,,my sql server,,,,,,,,,,,DatabaseSet1,100,True,,,,,,,,SQLServer,,sqlInstance1,144,,,,,,,,,,
Database,oracleserver1,oracle1,,my oracle server,,,,,,,,,,,DatabaseSet1|Databaset10,,False,,,,,,,,Oracle,oracleservice1,,123,,,,,,,,,,
Database,sapserver1,Sap1,,my Sap server,,,,,,,,,,,,,False,,,,,,,,SAPAse,,,,,,,,,,,,,
Account,,,,sql  Admin account for centrify-mg1.test,,,,,,,,,,,,,,Database,sqlserver1,Admin,test1Password,False,,,,,,,,,,,,,,,,
Account,,,,oracle root account for centrify-mg1.test,,,,,,,,,,,,,,Database,oracleserver1,root,test1Password,False,,,,,,,,,,,,,,,,
System,CheckPoint1,172.27.12.206,CheckPointGaia,CheckPointGaia System,,,,,,,,,,,,30,,,,,,,,,,,,,,admin,,,,,,,,
Account,,,,admin for CheckPoint1,,,,,,,,,,,AccountSet1,,,System,CheckPoint1,admin,test1Password,False,,,,,,,,,,,,,,,,
Account,,,,Expert on Checkpoint2,,,,,,,,,,,AccountSet1,,,System,CheckPoint1,Expert (expert mode),test1Password,False,Expert,,,,,,,,,,,,,,,
System,PaloAlto1,Palo,PaloAltoNetworksPANOS,PaloAltoNetworksPANOS System,,,,,,,,,,,ResourceSet1,30,,,,,,,,,,,,,,admin,,,,,,,,
Account,,,,admin for PaloAlto Server,,,,,,,,,,,AccountSet1,,,System,PaloAlto1,admin,test1Password,False,,,,,,,,,,,,,,,,
Account,,,,admin2 for PaloAlto Server,,,,,,,,,,,,,,System,PaloAlto1,admin2,test1Password,False,,,,,,,,,,,,,,,,
System,F5BigIp1,F5,F5NetworksBIGIP,F5NetworksBIGIP System,,,,,,,,,,,ResourceSet1,30,,,,,,,,,,,,,,admin,,,,,,,,
Account,,,,admin for F5 BIG-IP Server,,,,,,,,,,,AccountSet1,,,System,F5BigIp1,admin,test1Password,False,,,,,,,,,,,,,,,,
Account,,,,user1 for F5 BIG-IP Server,,,,,,,,,,,,,,System,F5BigIp1,user1,test1Password,False,,,,,,,,,,,,,,,,
System,host3,host3.centrify.com,GenericSsh,My host3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host3,,,,,,,,,,,,,,System,host3,admin,test1Password,,,,,,,,,,,,,,,,,
System,host4,host4.centrify.com,CiscoIOS,My CiscoIOS system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host4,,,,,,,,,,,,,,System,host4,admin,test1Password,,,,,,,,,,,,,,,,,
System,host5,host5.centrify.com,CiscoNXOS,My CiscoNXOS system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host5,,,,,,,,,,,,,,System,host5,admin,test1Password,,,,,,,,,,,,,,,,,
System,host6,host6.centrify.com,JuniperJunos,My JuniperJunos system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host6,,,,,,,,,,,,,,System,host6,admin,test1Password,,,,,,,,,,,,,,,,,
System,host7,host7.centrify.com,HpNonStopOS,My HpNonStopOS system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host7,,,,,,,,,,,,,,System,host7,admin,test1Password,,,,,,,,,,,,,,,,,
System,host8,host8.centrify.com,IBMi,My IBMi system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,admin user for host8,,,,,,,,,,,,,,System,host8,admin,test1Password,,,,,,,,,,,,,,,,,
System,AsyncOS1,asyncos,CiscoAsyncOS,Cisco AsyncOS System,,,,,,,,,,,,,,,,,,,,,,,,,,admin,,,,,,,,
Account,,,,admin for AsyncOS Server,,,,,,,,,,,AccountSet1,,,System,AsyncOS1,admin,test1Password,False,,,,,,,,,,,,,,,,
Account,,,,user1 for AsyncOS Server,,,,,,,,,,,,,,System,AsyncOS1,user1,test1Password,True,,,,,,,,,,,,,,,,
